word,sentiment,lexicon,score
anxious,negative,nrc,NA
apache,fear,nrc,NA
apache,negative,nrc,NA
apathetic,negative,nrc,NA
apathetic,sadness,nrc,NA
apathy,negative,nrc,NA
apathy,sadness,nrc,NA
aphid,disgust,nrc,NA
aphid,negative,nrc,NA
aplomb,positive,nrc,NA
apologetic,positive,nrc,NA
apologetic,trust,nrc,NA
apologize,positive,nrc,NA
apologize,sadness,nrc,NA
apologize,trust,nrc,NA
apology,positive,nrc,NA
apostle,positive,nrc,NA
apostle,trust,nrc,NA
apostolic,trust,nrc,NA
appalling,disgust,nrc,NA
appalling,fear,nrc,NA
appalling,negative,nrc,NA
apparition,fear,nrc,NA
apparition,surprise,nrc,NA
appeal,anticipation,nrc,NA
appendicitis,fear,nrc,NA
appendicitis,negative,nrc,NA
appendicitis,sadness,nrc,NA
applause,joy,nrc,NA
applause,positive,nrc,NA
applause,surprise,nrc,NA
applause,trust,nrc,NA
applicant,anticipation,nrc,NA
appreciation,joy,nrc,NA
appreciation,positive,nrc,NA
appreciation,trust,nrc,NA
apprehend,fear,nrc,NA
apprehension,fear,nrc,NA
apprehension,negative,nrc,NA
apprehensive,anticipation,nrc,NA
apprehensive,fear,nrc,NA
apprehensive,negative,nrc,NA
apprentice,trust,nrc,NA
approaching,anticipation,nrc,NA
approbation,positive,nrc,NA
approbation,trust,nrc,NA
appropriation,negative,nrc,NA
approval,positive,nrc,NA
approve,joy,nrc,NA
approve,positive,nrc,NA
approve,trust,nrc,NA
approving,positive,nrc,NA
apt,positive,nrc,NA
aptitude,positive,nrc,NA
arbiter,trust,nrc,NA
arbitration,anticipation,nrc,NA
arbitrator,trust,nrc,NA
archaeology,anticipation,nrc,NA
archaeology,positive,nrc,NA
archaic,negative,nrc,NA
architecture,trust,nrc,NA
ardent,anticipation,nrc,NA
ardent,joy,nrc,NA
ardent,positive,nrc,NA
ardor,positive,nrc,NA
arduous,negative,nrc,NA
argue,anger,nrc,NA
argue,negative,nrc,NA
argument,anger,nrc,NA
argument,negative,nrc,NA
argumentation,anger,nrc,NA
argumentative,negative,nrc,NA
arguments,anger,nrc,NA
arid,negative,nrc,NA
arid,sadness,nrc,NA
aristocracy,positive,nrc,NA
aristocratic,positive,nrc,NA
armament,anger,nrc,NA
armament,fear,nrc,NA
armaments,fear,nrc,NA
armaments,negative,nrc,NA
armed,anger,nrc,NA
armed,fear,nrc,NA
armed,negative,nrc,NA
armed,positive,nrc,NA
armor,fear,nrc,NA
armor,positive,nrc,NA
armor,trust,nrc,NA
armored,fear,nrc,NA
armory,trust,nrc,NA
aroma,positive,nrc,NA
arouse,anticipation,nrc,NA
arouse,positive,nrc,NA
arraignment,anger,nrc,NA
arraignment,fear,nrc,NA
arraignment,negative,nrc,NA
arraignment,sadness,nrc,NA
array,positive,nrc,NA
arrears,negative,nrc,NA
arrest,negative,nrc,NA
arrival,anticipation,nrc,NA
arrive,anticipation,nrc,NA
arrogance,negative,nrc,NA
arrogant,anger,nrc,NA
arrogant,disgust,nrc,NA
arrogant,negative,nrc,NA
arsenic,disgust,nrc,NA
arsenic,fear,nrc,NA
arsenic,negative,nrc,NA
arsenic,sadness,nrc,NA
arson,anger,nrc,NA
arson,fear,nrc,NA
arson,negative,nrc,NA
art,anticipation,nrc,NA
art,joy,nrc,NA
art,positive,nrc,NA
art,sadness,nrc,NA
art,surprise,nrc,NA
articulate,positive,nrc,NA
articulation,positive,nrc,NA
artillery,fear,nrc,NA
artillery,negative,nrc,NA
artisan,positive,nrc,NA
artiste,positive,nrc,NA
artistic,positive,nrc,NA
ascendancy,positive,nrc,NA
ascent,positive,nrc,NA
ash,negative,nrc,NA
ashamed,disgust,nrc,NA
ashamed,negative,nrc,NA
ashamed,sadness,nrc,NA
ashes,negative,nrc,NA
ashes,sadness,nrc,NA
asp,fear,nrc,NA
aspiration,anticipation,nrc,NA
aspiration,joy,nrc,NA
aspiration,positive,nrc,NA
aspiration,surprise,nrc,NA
aspiration,trust,nrc,NA
aspire,anticipation,nrc,NA
aspire,joy,nrc,NA
aspire,positive,nrc,NA
aspiring,anticipation,nrc,NA
aspiring,joy,nrc,NA
aspiring,positive,nrc,NA
aspiring,trust,nrc,NA
ass,negative,nrc,NA
assail,anger,nrc,NA
assail,fear,nrc,NA
assail,negative,nrc,NA
assail,surprise,nrc,NA
assailant,anger,nrc,NA
assailant,fear,nrc,NA
assailant,negative,nrc,NA
assailant,sadness,nrc,NA
assassin,anger,nrc,NA
assassin,fear,nrc,NA
assassin,negative,nrc,NA
assassin,sadness,nrc,NA
assassinate,anger,nrc,NA
assassinate,fear,nrc,NA
assassinate,negative,nrc,NA
assassination,anger,nrc,NA
assassination,fear,nrc,NA
assassination,negative,nrc,NA
assassination,sadness,nrc,NA
assault,anger,nrc,NA
assault,fear,nrc,NA
assault,negative,nrc,NA
assembly,positive,nrc,NA
assembly,trust,nrc,NA
assent,positive,nrc,NA
asserting,positive,nrc,NA
asserting,trust,nrc,NA
assessment,surprise,nrc,NA
assessment,trust,nrc,NA
assessor,trust,nrc,NA
assets,positive,nrc,NA
asshole,anger,nrc,NA
asshole,disgust,nrc,NA
asshole,negative,nrc,NA
assignee,trust,nrc,NA
assist,positive,nrc,NA
assist,trust,nrc,NA
assistance,positive,nrc,NA
associate,positive,nrc,NA
associate,trust,nrc,NA
association,trust,nrc,NA
assuage,positive,nrc,NA
assurance,positive,nrc,NA
assurance,trust,nrc,NA
assure,trust,nrc,NA
assured,positive,nrc,NA
assured,trust,nrc,NA
assuredly,trust,nrc,NA
astonishingly,positive,nrc,NA
astonishingly,surprise,nrc,NA
astonishment,joy,nrc,NA
astonishment,positive,nrc,NA
astonishment,surprise,nrc,NA
astray,fear,nrc,NA
astray,negative,nrc,NA
astringent,negative,nrc,NA
astrologer,anticipation,nrc,NA
astrologer,positive,nrc,NA
astronaut,positive,nrc,NA
astronomer,anticipation,nrc,NA
astronomer,positive,nrc,NA
astute,positive,nrc,NA
asylum,fear,nrc,NA
asylum,negative,nrc,NA
asymmetry,disgust,nrc,NA
atheism,negative,nrc,NA
atherosclerosis,fear,nrc,NA
atherosclerosis,negative,nrc,NA
atherosclerosis,sadness,nrc,NA
athlete,positive,nrc,NA
athletic,positive,nrc,NA
atom,positive,nrc,NA
atone,anticipation,nrc,NA
atone,joy,nrc,NA
atone,positive,nrc,NA
atone,trust,nrc,NA
atonement,positive,nrc,NA
atrocious,anger,nrc,NA
atrocious,disgust,nrc,NA
atrocious,negative,nrc,NA
atrocity,anger,nrc,NA
atrocity,disgust,nrc,NA
atrocity,fear,nrc,NA
atrocity,negative,nrc,NA
atrocity,sadness,nrc,NA
atrophy,disgust,nrc,NA
atrophy,fear,nrc,NA
atrophy,negative,nrc,NA
atrophy,sadness,nrc,NA
attachment,positive,nrc,NA
attack,anger,nrc,NA
attack,fear,nrc,NA
attack,negative,nrc,NA
attacking,anger,nrc,NA
attacking,disgust,nrc,NA
attacking,fear,nrc,NA
attacking,negative,nrc,NA
attacking,sadness,nrc,NA
attacking,surprise,nrc,NA
attainable,anticipation,nrc,NA
attainable,positive,nrc,NA
attainment,positive,nrc,NA
attempt,anticipation,nrc,NA
attendance,anticipation,nrc,NA
attendant,positive,nrc,NA
attendant,trust,nrc,NA
attention,positive,nrc,NA
attentive,positive,nrc,NA
attentive,trust,nrc,NA
attenuated,negative,nrc,NA
attenuation,negative,nrc,NA
attenuation,sadness,nrc,NA
attest,positive,nrc,NA
attest,trust,nrc,NA
attestation,trust,nrc,NA
attorney,anger,nrc,NA
attorney,fear,nrc,NA
attorney,positive,nrc,NA
attorney,trust,nrc,NA
attraction,positive,nrc,NA
attractiveness,positive,nrc,NA
auction,anticipation,nrc,NA
audacity,negative,nrc,NA
audience,anticipation,nrc,NA
auditor,fear,nrc,NA
auditor,trust,nrc,NA
augment,positive,nrc,NA
august,positive,nrc,NA
aunt,positive,nrc,NA
aunt,trust,nrc,NA
aura,positive,nrc,NA
auspicious,anticipation,nrc,NA
auspicious,joy,nrc,NA
auspicious,positive,nrc,NA
austere,fear,nrc,NA
austere,negative,nrc,NA
austere,sadness,nrc,NA
austerity,negative,nrc,NA
authentic,joy,nrc,NA
authentic,positive,nrc,NA
authentic,trust,nrc,NA
